Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","854","Burkina Faso","664","Food supply (kcal/capita/day)","S2901","Grand Total","2018","2018","kcal/cap/d","2655","E","Estimated value"
"FBS","Food Balances (2010-)","854","Burkina Faso","664","Food supply (kcal/capita/day)","S2901","Grand Total","2019","2019","kcal/cap/d","2629","E","Estimated value"
"FBS","Food Balances (2010-)","854","Burkina Faso","664","Food supply (kcal/capita/day)","S2901","Grand Total","2020","2020","kcal/cap/d","2675","E","Estimated value"
"FBS","Food Balances (2010-)","854","Burkina Faso","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","2663","E","Estimated value"
"FBS","Food Balances (2010-)","854","Burkina Faso","661","Food supply (kcal)","S2901","Grand Total","2016","2016","million Kcal","18607012.44","E","Estimated value"
"FBS","Food Balances (2010-)","854","Burkina Faso","661","Food supply (kcal)","S2901","Grand Total","2017","2017","million Kcal","18952179.16","E","Estimated value"
"FBS","Food Balances (2010-)","854","Burkina Faso","661","Food supply (kcal)","S2901","Grand Total","2018","2018","million Kcal","19760879.27","E","Estimated value"
"FBS","Food Balances (2010-)","854","Burkina Faso","661","Food supply (kcal)","S2901","Grand Total","2019","2019","million Kcal","20107098.77","E","Estimated value"
"FBS","Food Balances (2010-)","854","Burkina Faso","661","Food supply (kcal)","S2901","Grand Total","2020","2020","million Kcal","21017982.88","E","Estimated value"
"FBS","Food Balances (2010-)","854","Burkina Faso","661","Food supply (kcal)","S2901","Grand Total","2021","2021","million Kcal","21479497.83","E","Estimated value"
"FBS","Food Balances (2010-)","108","Burundi","664","Food supply (kcal/capita/day)","S2901","Grand Total","2016","2016","kcal/cap/d","1748","E","Estimated value"
"FBS","Food Balances (2010-)","108","Burundi","664","Food supply (kcal/capita/day)","S2901","Grand Total","2017","2017","kcal/cap/d","1736","E","Estimated value"
"FBS","Food Balances (2010-)","108","Burundi","664","Food supply (kcal/capita/day)","S2901","Grand Total","2018","2018","kcal/cap/d","1787","E","Estimated value"
"FBS","Food Balances (2010-)","108","Burundi","664","Food supply (kcal/capita/day)","S2901","Grand Total","2019","2019","kcal/cap/d","1780","E","Estimated value"
"FBS","Food Balances (2010-)","108","Burundi","664","Food supply (kcal/capita/day)","S2901","Grand Total","2020","2020","kcal/cap/d","1770","E","Estimated value"
"FBS","Food Balances (2010-)","108","Burundi","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","1775","E","Estimated value"
"FBS","Food Balances (2010-)","108","Burundi","661","Food supply (kcal)","S2901","Grand Total","2016","2016","million Kcal","6957190.98","E","Estimated value"
"FBS","Food Balances (2010-)","108","Burundi","661","Food supply (kcal)","S2901","Grand Total","2017","2017","million Kcal","7068576.34","E","Estimated value"
"FBS","Food Balances (2010-)","108","Burundi","661","Food supply (kcal)","S2901","Grand Total","2018","2018","million Kcal","7496554.49","E","Estimated value"
"FBS","Food Balances (2010-)","108","Burundi","661","Food supply (kcal)","S2901","Grand Total","2019","2019","million Kcal","7714882.55","E","Estimated value"
"FBS","Food Balances (2010-)","108","Burundi","661","Food supply (kcal)","S2901","Grand Total","2020","2020","million Kcal","7894128.56","E","Estimated value"
"FBS","Food Balances (2010-)","108","Burundi","661","Food supply (kcal)","S2901","Grand Total","2021","2021","million Kcal","8131019.41","E","Estimated value"
"FBS","Food Balances (2010-)","132","Cabo Verde","664","Food supply (kcal/capita/day)","S2901","Grand Total","2016","2016","kcal/cap/d","2549","E","Estimated value"
"FBS","Food Balances (2010-)","132","Cabo Verde","664","Food supply (kcal/capita/day)","S2901","Grand Total","2017","2017","kcal/cap/d","2558","E","Estimated value"
"FBS","Food Balances (2010-)","132","Cabo Verde","664","Food supply (kcal/capita/day)","S2901","Grand Total","2018","2018","kcal/cap/d","2592","E","Estimated value"
"FBS","Food Balances (2010-)","132","Cabo Verde","664","Food supply (kcal/capita/day)","S2901","Grand Total","2019","2019","kcal/cap/d","2599","E","Estimated value"
"FBS","Food Balances (2010-)","132","Cabo Verde","664","Food supply (kcal/capita/day)","S2901","Grand Total","2020","2020","kcal/cap/d","2653","E","Estimated value"
"FBS","Food Balances (2010-)","132","Cabo Verde","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","2637","E","Estimated value"
"FBS","Food Balances (2010-)","132","Cabo Verde","661","Food supply (kcal)","S2901","Grand Total","2016","2016","million Kcal","519563.59","E","Estimated value"
"FBS","Food Balances (2010-)","132","Cabo Verde","661","Food supply (kcal)","S2901","Grand Total","2017","2017","million Kcal","527400.89","E","Estimated value"
"FBS","Food Balances (2010-)","132","Cabo Verde","661","Food supply (kcal)","S2901","Grand Total","2018","2018","million Kcal","540502.14","E","Estimated value"
"FBS","Food Balances (2010-)","132","Cabo Verde","661","Food supply (kcal)","S2901","Grand Total","2019","2019","million Kcal","547442.54","E","Estimated value"
"FBS","Food Balances (2010-)","132","Cabo Verde","661","Food supply (kcal)","S2901","Grand Total","2020","2020","million Kcal","564171.67","E","Estimated value"
"FBS","Food Balances (2010-)","132","Cabo Verde","661","Food supply (kcal)","S2901","Grand Total","2021","2021","million Kcal","565885.91","E","Estimated value"
"FBS","Food Balances (2010-)","120","Cameroon","664","Food supply (kcal/capita/day)","S2901","Grand Total","2016","2016","kcal/cap/d","2773","E","Estimated value"
"FBS","Food Balances (2010-)","120","Cameroon","664","Food supply (kcal/capita/day)","S2901","Grand Total","2017","2017","kcal/cap/d","2749","E","Estimated value"
"FBS","Food Balances (2010-)","120","Cameroon","664","Food supply (kcal/capita/day)","S2901","Grand Total","2018","2018","kcal/cap/d","2780","E","Estimated value"
"FBS","Food Balances (2010-)","120","Cameroon","664","Food supply (kcal/capita/day)","S2901","Grand Total","2019","2019","kcal/cap/d","2833","E","Estimated value"
"FBS","Food Balances (2010-)","120","Cameroon","664","Food supply (kcal/capita/day)","S2901","Grand Total","2020","2020","kcal/cap/d","2812","E","Estimated value"
"FBS","Food Balances (2010-)","120","Cameroon","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","2807","E","Estimated value"
"FBS","Food Balances (2010-)","120","Cameroon","661","Food supply (kcal)","S2901","Grand Total","2016","2016","million Kcal","23998938.73","E","Estimated value"
"FBS","Food Balances (2010-)","120","Cameroon","661","Food supply (kcal)","S2901","Grand Total","2017","2017","million Kcal","24474561.69","E","Estimated value"
"FBS","Food Balances (2010-)","120","Cameroon","661","Food supply (kcal)","S2901","Grand Total","2018","2018","million Kcal","25444797.62","E","Estimated value"
"FBS","Food Balances (2010-)","120","Cameroon","661","Food supply (kcal)","S2901","Grand Total","2019","2019","million Kcal","26656768.82","E","Estimated value"
